,,,,,,,,,,,
Line,Direction,Station from (A),Station to (B),Un-impeded Running Time (Mins),AM peak (0700-1000) Running Time (Mins),Inter peak (1000 - 1600) Running time (mins),Average Running Time (Mins),,,,
Circle ,Inner,ROYAL OAK,WESTBOURNE PARK,1.72,2.00,2.00,1.91,,,,
Circle ,Inner,WESTBOURNE PARK,LADBROKE GROVE,1.48,1.50,1.50,1.49,,,,
Circle ,Inner,LADBROKE GROVE,LATIMER ROAD,1.28,1.50,1.50,1.43,,,,
Circle ,Inner,LATIMER ROAD,WOOD LANE,1.28,1.50,1.50,1.43,,,,
Circle ,Inner,WOOD LANE,SHEPHERDS BUSH MARKET,1.28,1.50,1.50,1.43,,,,
Circle ,Inner,SHEPHERDS BUSH MARKET,GOLDHAWK ROAD,1.15,1.00,1.00,1.05,,,,
Circle ,Inner,GOLDHAWK ROAD,HAMMERSMITH,2.43,3.07,3.03,2.84,,,,
Circle ,Outer,HAMMERSMITH,GOLDHAWK ROAD,2.05,2.00,2.00,2.02,,,,
Circle ,Outer,GOLDHAWK ROAD,SHEPHERDS BUSH MARKET,1.15,1.50,1.50,1.38,,,,
Circle ,Outer,SHEPHERDS BUSH MARKET,WOOD LANE,1.28,1.50,1.50,1.43,,,,
Circle ,Outer,WOOD LANE,LATIMER ROAD,1.28,1.50,1.50,1.43,,,,
Circle ,Outer,LATIMER ROAD,LADBROKE GROVE,1.37,1.50,1.50,1.46,,,,
Circle ,Outer,LADBROKE GROVE,WESTBOURNE PARK,1.48,1.50,1.50,1.49,,,,
Circle ,Outer,WESTBOURNE PARK,ROYAL OAK,1.78,2.00,2.00,1.93,,,,
Circle ,Outer,ROYAL OAK,PADDINGTON (H&C),1.52,2.00,2.00,1.84,,,,
Circle ,Outer,PADDINGTON (H&C),EDGWARE ROAD,2.33,3.71,3.72,3.25,,,,
Circle ,Outer,EDGWARE ROAD,BAKER STREET,1.47,2.84,2.50,2.27,,,,
Circle ,Outer,BAKER STREET,GREAT PORTLAND STREET,1.90,2.00,2.00,1.97,,,,
Circle ,Outer,GREAT PORTLAND STREET,EUSTON SQUARE,1.25,1.50,1.50,1.42,,,,
Circle ,Outer,EUSTON SQUARE,KINGS CROSS & ST PANCRAS INTERNATIONAL,1.75,2.00,2.00,1.92,,,,
Circle ,Outer,KINGS CROSS & ST PANCRAS INTERNATIONAL,FARRINGDON,2.98,3.50,3.50,3.33,,,,
Circle ,Outer,FARRINGDON,BARBICAN,1.22,1.50,1.50,1.41,,,,
Circle ,Outer,BARBICAN,MOORGATE,1.32,1.53,1.50,1.45,,,,
Circle ,Outer,MOORGATE,LIVERPOOL STREET,1.18,1.95,1.51,1.55,,,,
Circle ,Outer,LIVERPOOL STREET,ALDGATE,2.18,2.55,2.51,2.41,,,,
Circle ,Outer,ALDGATE,TOWER HILL,1.37,2.02,2.10,1.83,,,,
Circle ,Outer,TOWER HILL,MONUMENT,1.48,1.50,1.50,1.49,,,,
Circle ,Outer,MONUMENT,CANNON STREET,0.88,1.00,1.00,0.96,,,,
Circle ,Outer,CANNON STREET,MANSION HOUSE,0.93,1.50,1.50,1.31,,,,
Circle ,Outer,MANSION HOUSE,BLACKFRIARS,1.22,1.52,1.50,1.41,,,,
